Consonant	Mean	Median	SD	Range	Studies	Languages	Mean	Median	SD	Range	Studies	Languages
ð̲	72	72	—	—	1	ara	—	—	—	—	—	—
ð̨	40	40	—	—	1	isl	—	—	—	—	—	—
s	36.76	36	12.06	18–60	34	ara, cmn, dan, deu, ell, eng, hat, isl, jam, kor, mlt, nld, pot, swa, tsn, tur, xho	50.36	48	18.56	16–90	28	ara, cmn, dan, deu, ell, eng, heb, hun, jpn, msa, pot, spa, tur, yue
s*	36	36	—	—	1	kor	—	—	—	—	—	—
s ̲	72	72	—	—	1	ara	—	—	—	—	—	—
sˤ	40	40	—	—	1	ara	—	—	—	—	—	—
sʷ	36	36	—	—	1	tsn	—	—	—	—	—	—
z	41.29	36	16.19	18–84	24	ara, deu, ell, eng, fra, hat, jam, pot, swa, tur, xho	54.17	54	20.18	24–90	18	afr, deu, eng, fra, heb, hun, jpn, pot, tur
ʃ	40.75	42	10.87	20–60	24	ara, deu, eng, fra, hat, jam, mlt, pot, swa, tsn, tur, xho	54.87	54	16.01	30–90	15	afr, ara, deu, eng, heb, hun, pot, tur
ʒ	47.85	48	14.29	28–84	13	eng, fra, hat, pot, tur	60	66	16.16	36–78	9	eng, hun, pot, spa, tur
ʂ	25	25	—	—	1	cmn	43	43	—	—	1	cmn
ʐ	—	—	—	—	—	—	—	—	—	—	—	—
ç	41.67	40	6.66	36–49	3	deu, ell, isl	48.2	48	0.45	48–49	6	deu, ell, jpn
ʝ	39.5	39.5	4.95	36–43	2	ell	43	43	—	—	1	ell
ɕ	28	30	9.17	18–36	3	cmn, dan	45.71	52	15.72	18–66	7	cmn, dan, jpn
ʑ	—	—	—	—	—	—	—	—	—	—	—	—
x	38.42	36	13.24	18–72	12	ara, cmn, deu, ell, pot, slv, tsn, xho	40.7	42.5	15.13	18–60	10	afr, cmn, deu, ell, heb, pot, slv, spa
xʷ	42	42	—	—	1	tsn	—	—	—	—	—	—
ɣ	33	32	7.07	24–43	5	ell, tur, xho	48	48	—	—	1	tur
ʍ	36	36	—	—	1	eng	90	90	—	—	1	eng
ɧ	30	30	—	—	1	xho	—	—	—	—	—	—
χ	39	39	21.21	24–54	2	ara, nld	60.5	60.5	7.78	55–66	2	ara
χː	—	—	—	—	—	—	46	46	—	—	1	ara
